"id","description","last_updated"
"339454","Pistachio nuts, roasted, salted","2019-04-01"
"339455","Pistachio nuts, roasted, without salt","2019-04-01"
"339456","Walnuts, NFS","2019-04-01"
"339457","Walnuts, roasted, salted","2019-04-01"
"339458","Walnuts, roasted, without salt","2019-04-01"
"339459","Walnuts, honey-roasted","2019-04-01"
"339460","Almond butter","2019-04-01"
"339461","Almond paste (Marzipan paste)","2019-04-01"
"339462","Cashew butter","2019-04-01"
"339463","Peanut butter","2019-04-01"
"339464","Peanut butter, low sodium","2019-04-01"
"339465","Peanut butter, reduced sodium and reduced sugar","2019-04-01"
"339466","Peanut butter, reduced sugar","2019-04-01"
"339467","Peanut butter, reduced fat","2019-04-01"
"339468","Peanut butter, vitamin and mineral fortified","2019-04-01"
"339469","Peanut butter and jelly","2019-04-01"
"339479","Nut mixture with dried fruit and seeds","2019-04-01"
"339480","Nut mixture with dried fruit, seeds, and chocolate","2019-04-01"
"339481","Nut mixture with seeds","2019-04-01"
"339482","Pumpkin and/or squash seeds, hulled, unroasted","2019-04-01"
"339483","Pumpkin and/or squash seeds, hulled, roasted, salted","2019-04-01"
"339484","Pumpkin and/or squash seeds, hulled, roasted, without salt","2019-04-01"
"339485","Sunflower seeds, hulled, unroasted, without salt","2019-04-01"
"339486","Sunflower seeds, hulled, roasted, salted","2019-04-01"
"339487","Sunflower seeds, hulled, roasted, without salt","2019-04-01"
"339488","Sunflower seeds, hulled, dry roasted","2019-04-01"
"339489","Sesame seeds","2019-04-01"
"339490","Sesame seeds, whole seed","2019-04-01"
"339492","Sesame paste (sesame butter made from whole seeds)","2019-04-01"
"339493","Sesame butter (tahini) (made from kernels)","2019-04-01"
"339494","Flax seeds","2019-04-01"
"339495","Mixed seeds","2019-04-01"
"341421","Meat substitute, cereal- and vegetable protein-based, fried","2019-04-01"
"342234","Spinach souffle","2019-04-01"
"342471","Squash, winter, souffle","2019-04-01"
"343619","Squash, summer, souffle","2019-04-01"
"336790","Topping from cheese pizza","2019-04-01"
"336791","Topping from vegetable pizza","2019-04-01"
"336792","Topping from meat pizza","2019-04-01"
"336793","Topping from meat and vegetable pizza","2019-04-01"
"337983","Beef with soy-based sauce (mixture)","2019-04-01"
"337984","Steak teriyaki with sauce (mixture)","2019-04-01"
"337987","Beef with sweet and sour sauce (mixture)","2019-04-01"
"337997","Sweet and sour pork","2019-04-01"
"338004","Pork or ham with soy-based sauce (mixture)","2019-04-01"
"338026","Chicken or turkey cacciatore","2019-04-01"
"338028","Stewed chicken with tomato-based sauce, Mexican style (mixture) (Pollo guisado con tomate)","2019-04-01"
"338029","Chili con carne with chicken or turkey and beans","2019-04-01"
"338030","Chicken with gravy (mixture)","2019-04-01"
"338031","Chicken or turkey fricassee","2019-04-01"
"338032","Turkey with gravy (mixture)","2019-04-01"
"338033","Chicken or turkey with cream sauce (mixture)","2019-04-01"
"338034","Chicken or turkey with (mushroom) soup (mixture)","2019-04-01"
"338035","Chicken or turkey teriyaki (chicken or turkey with soy-based sauce)","2019-04-01"
"338039","Sweet and sour chicken or turkey","2019-04-01"
"338040","Sweet and sour chicken or turkey, without vegetables","2019-04-01"
"338041","Chicken curry","2019-04-01"
"338042","Chicken with mole sauce","2019-04-01"
"338043","Chicken or turkey with cheese sauce (mixture)","2019-04-01"
"338044","Chicken or turkey cordon bleu","2019-04-01"
"338045","Chicken or turkey parmigiana","2019-04-01"
"338046","Orange chicken","2019-04-01"
"338047","Sesame chicken","2019-04-01"
"338048","Chicken kiev","2019-04-01"
"338049","Stuffed chicken, drumstick or breast, Puerto Rican style (Muslo de pollo o pechuga rellena)","2019-04-01"
"338050","Fish with cream or white sauce, not tuna or lobster (mixture)","2019-04-01"
"338051","Crab, deviled","2019-04-01"
"338052","Crab imperial","2019-04-01"
"338053","Fish timbale or mousse","2019-04-01"
"338054","Lobster newburg","2019-04-01"
"338056","Shrimp curry","2019-04-01"
"338058","Tuna with cream or white sauce (mixture)","2019-04-01"
"338059","Seafood newburg","2019-04-01"
"338061","Shrimp with lobster sauce (mixture)","2019-04-01"
"338062","Sweet and sour shrimp","2019-04-01"
"338067","Fish moochim (Korean style), dried fish with soy sauce","2019-04-01"
"338068","Fish with tomato-based sauce (mixture)","2019-04-01"
"338069","Fish curry","2019-04-01"
"338070","Mussels with tomato-based sauce (mixture)","2019-04-01"
"338071","Sardines with tomato-based sauce (mixture)","2019-04-01"
"338072","Sardines with mustard sauce (mixture)","2019-04-01"
"338073","Shrimp teriyaki (shrimp with soy-based sauce) (mixture)","2019-04-01"
"338074","Scallops with cheese sauce (mixture)","2019-04-01"
"338075","Marinated fish (Ceviche)","2019-04-01"
"338076","Crabs in tomato-based sauce, Puerto Rican style (mixture) (Salmorejo de jueyes)","2019-04-01"
"338077","Shrimp in garlic sauce, Puerto Rican style (mixture) (Camarones al ajillo)","2019-04-01"
"338078","Stewed codfish, Puerto Rican style, no potatoes (potatoes reported separately)","2019-04-01"
"338106","Beef and noodles with soy-based sauce (mixture)","2019-04-01"
"338108","Biryani with meat","2019-04-01"
"338116","Beef and rice with soy-based sauce (mixture)","2019-04-01"
"338150","Chicken or turkey hash","2019-04-01"
"338151","Chicken or turkey and potatoes with gravy (mixture)","2019-04-01"
"338152","Chicken or turkey and noodles, no sauce (mixture)","2019-04-01"
"338153","Chicken or turkey and noodles with gravy (mixture)","2019-04-01"
"338154","Chicken or turkey and noodles with (mushroom) soup (mixture)","2019-04-01"
"338155","Chicken or turkey and noodles with cream or white sauce (mixture)","2019-04-01"
"338156","Chicken or turkey and noodles with cheese sauce (mixture)","2019-04-01"
"338157","Chicken or turkey tetrazzini","2019-04-01"
"338158","Chicken or turkey and noodles, tomato-based sauce (mixture)","2019-04-01"
"338159","Chicken or turkey and noodles with soy-based sauce (mixture)","2019-04-01"
"338160","Chicken or turkey and rice, no sauce (mixture)","2019-04-01"
"338161","Biryani with chicken","2019-04-01"
"338162","Chicken or turkey and rice with cream sauce (mixture)","2019-04-01"
"338163","Chicken or turkey and rice with (mushroom) soup (mixture)","2019-04-01"
"338164","Chicken or turkey and rice with tomato-based sauce (mixture)","2019-04-01"
"338165","Chicken or turkey and rice with soy-based sauce (mixture)","2019-04-01"
"338166","Chicken in cheese sauce with Spanish rice","2019-04-01"
"338167","Chicken or turkey with dumplings (mixture)","2019-04-01"
"338168","Chicken or turkey with stuffing (mixture)","2019-04-01"
"338169","Chicken or turkey cake, patty, or croquette","2019-04-01"
"338171","Meat loaf made with chicken or turkey","2019-04-01"
"338172","Meat loaf made with chicken or turkey, with tomato-based sauce","2019-04-01"
"338173","Clams, stuffed","2019-04-01"
"338174","Codfish ball or cake","2019-04-01"
"338175","Crab cake","2019-04-01"
"338176","Fish cake or patty, NS as to fish","2019-04-01"
"338177","Gefilte fish","2019-04-01"
"338178","Salmon cake or patty","2019-04-01"
"338179","Salmon loaf","2019-04-01"
"338180","Scallops and noodles with cheese sauce (mixture)","2019-04-01"
"338181","Shrimp and noodles, no sauce (mixture)","2019-04-01"
"338182","Shrimp and noodles with gravy (mixture)","2019-04-01"
"338183","Shrimp and noodles with (mushroom) soup (mixture)","2019-04-01"
"338184","Shrimp and noodles with cream or white sauce (mixture)","2019-04-01"
"338185","Shrimp and noodles with soy-based sauce (mixture)","2019-04-01"
"338186","Shrimp and noodles with cheese sauce (mixture)","2019-04-01"
"338187","Shrimp and noodles with tomato sauce (mixture)","2019-04-01"
"338188","Tuna loaf","2019-04-01"
"338189","Tuna cake or patty","2019-04-01"
"338190","Clam cake or patty","2019-04-01"
"338191","Oyster fritter","2019-04-01"
"338192","Flounder with crab stuffing","2019-04-01"
"338193","Lobster with bread stuffing, baked","2019-04-01"
"338194","Clams Casino","2019-04-01"
"338195","Mackerel cake or patty","2019-04-01"
"338196","Haddock cake or patty","2019-04-01"
"338197","Shrimp cake or patty","2019-04-01"
"338198","Shrimp with crab stuffing","2019-04-01"
"338199","Shrimp toast, fried","2019-04-01"
"338202","Tuna noodle casserole with cream or white sauce","2019-04-01"
"338203","Tuna noodle casserole with (mushroom) soup","2019-04-01"
"338204","Tuna and rice with (mushroom) soup (mixture)","2019-04-01"
"338205","Fish and rice with tomato-based sauce","2019-04-01"
"338206","Fish and rice with cream sauce","2019-04-01"
"338207","Fish and rice with (mushroom) soup","2019-04-01"
"338208","Fish and noodles with (mushroom) soup","2019-04-01"
"338209","Shellfish mixture and noodles, tomato-based sauce (mixture)","2019-04-01"
"338210","Stewed salmon, Puerto Rican style (Salmon guisado)","2019-04-01"
"338238","Beef, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), soy-based sauce (mixture)","2019-04-01"
"338239","Beef, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), soy-based sauce (mixture)","2019-04-01"
"338242","Beef chow mein or chop suey with noodles","2019-04-01"
"338243","Beef, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), soy-based sauce (mixture)","2019-04-01"
"338244","Beef, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), soy-based sauce (mixture)","2019-04-01"
"338263","Beef, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), soy-based sauce (mixture)","2019-04-01"
"338264","Beef, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), soy-based sauce (mixture)","2019-04-01"
"338284","Pork chow mein or chop suey with noodles","2019-04-01"
"338285","Pork, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), soy-based sauce (mixture)","2019-04-01"
"338286","Pork, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), soy-based sauce (mixture)","2019-04-01"
"338291","Sweet and sour pork with rice","2019-04-01"
"338296","Lamb or mutton, rice, and vegetables  (including carrots, broccoli, and/or dark-green leafy), gravy","2019-04-01"
"338297","Lamb or mutton stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy","2019-04-01"
"338298","Stuffed grape leaves with lamb and rice","2019-04-01"
"338299","Lamb or mutton stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce","2019-04-01"
"338300","Lamb or mutton stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce","2019-04-01"
"338301","Veal fricassee, Puerto Rican style (ternera en fricase)","2019-04-01"
"338302","Veal stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce","2019-04-01"
"338303","Veal stew with potatoes and vegetables (excluding carrots, broccoli, and/or dark-green leafy), tomato-based sauce","2019-04-01"
"338304","Rabbit stew with potatoes and vegetables","2019-04-01"
"338305","Stewed rabbit, Puerto Rican style (Fricase de conejo)","2019-04-01"
"338306","Venison/deer stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce","2019-04-01"
"338307","Venison/deer stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce","2019-04-01"
"338308","Venison/deer, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)","2019-04-01"
"338309","Venison/deer, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)","2019-04-01"
"338310","Venison/deer, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)","2019-04-01"
"338311","Venison/deer, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce (mixture)","2019-04-01"
"338312","Chicken or turkey, potatoes, corn, and cheese, with gravy","2019-04-01"
"338313","Chicken or turkey, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)","2019-04-01"
"338314","Chicken or turkey, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)","2019-04-01"
"338315","Chicken or turkey, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)","2019-04-01"
"338316","Chicken or turkey, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)","2019-04-01"
"338317","Chicken or turkey, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), cream sauce, white sauce, or mushroom soup-based sauce (mixture)","2019-04-01"
"338318","Chicken or turkey, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), cream sauce, white sauce, or mushroom soup-based sauce (mixture)","2019-04-01"
"338319","Chicken or turkey, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), cheese sauce (mixture)","2019-04-01"
"338320","Chicken or turkey, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), cheese sauce (mixture)","2019-04-01"
"338321","Chicken or turkey, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)","2019-04-01"
"338322","Chicken or turkey, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce (mixture)","2019-04-01"
"338323","Chicken or turkey stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy","2019-04-01"
"338324","Chicken or turkey stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy","2019-04-01"
"338325","Chicken or turkey stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce","2019-04-01"
"338326","Chicken or turkey stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato- based sauce","2019-04-01"
"338327","Chicken or turkey, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)","2019-04-01"
"338328","Chicken or turkey, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)","2019-04-01"
"338329","Chicken or turkey, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)","2019-04-01"
"338330","Chicken or turkey, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)","2019-04-01"
"338331","Chicken or turkey, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), cream sauce, white sauce, or mushroom soup-based sauce (mixture)","2019-04-01"
"338332","Chicken or turkey, noodles, and vegetables (excluding carrots, broccoli, and/or dark-green leafy), cream sauce, white sauce, or mushroom soup-based sauce (mixture)","2019-04-01"
"338333","Chicken or turkey, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)","2019-04-01"
"338334","Chicken or turkey, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce (mixture)","2019-04-01"
"338335","Chicken or turkey chow mein or chop suey with noodles","2019-04-01"
"338336","Chicken or turkey, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), cheese sauce (mixture)","2019-04-01"
"338337","Chicken or turkey, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), cheese sauce (mixture)","2019-04-01"
"338338","Chicken or turkey, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)","2019-04-01"
"338339","Chicken or turkey, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)","2019-04-01"
"338340","Chicken or turkey, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)","2019-04-01"
"338341","Chicken or turkey, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)","2019-04-01"
"338342","Chicken or turkey, rice, corn, and cheese, with gravy","2019-04-01"
"338343","Chicken or turkey, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), soy-based sauce (mixture)","2019-04-01"
"338344","Chicken or turkey, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), soy-based sauce (mixture)","2019-04-01"
"338345","Chicken or turkey, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), cream sauce, white sauce, or mushroom soup-based sauce (mixture)","2019-04-01"
"338346","Chicken or turkey, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), cream sauce, white sauce, or mushroom soup-based sauce (mixture)","2019-04-01"
"338347","Chicken or turkey, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), cheese sauce (mixture)","2019-04-01"
"338348","Chicken or turkey, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), cheese sauce (mixture)","2019-04-01"
"338349","Chicken or turkey, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)","2019-04-01"
"338350","Chicken or turkey, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce (mixture)","2019-04-01"
"338351","Chicken or turkey pot pie","2019-04-01"
"338352","Chicken or turkey, stuffing, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)","2019-04-01"
"338353","Chicken or turkey,stuffing, and vegetables (excluding carrots, broccoli, and dark green leafy), no sauce (mixture)","2019-04-01"
"338354","Chicken or turkey, stuffing, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)","2019-04-01"
"338355","Chicken or turkey, stuffing, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)","2019-04-01"
"338356","Chicken or turkey, dumplings, and vegetables (including carrots, broccoli, and/or dark green leafy), gravy (mixture)","2019-04-01"
"338357","Chicken or turkey, dumplings, and vegetables (excluding carrots, broccoli, and dark green leafy), gravy (mixture)","2019-04-01"
"338358","Chicken fricassee, Puerto Rican style (Fricase de pollo)","2019-04-01"
"338359","Paella with seafood","2019-04-01"
"338360","Seafood stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-base sauce","2019-04-01"
"338361","Shrimp chow mein or chop suey with noodles","2019-04-01"
"338362","Shrimp creole, with rice","2019-04-01"
"338363","Tuna pot pie","2019-04-01"
"338364","Tuna noodle casserole with vegetables, cream or white sauce","2019-04-01"
"338365","Fish, noodles, and vegetables (including carrots, broccoli, and/or dark green leafy), cheese sauce (mixture)","2019-04-01"
"338366","Fish, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), cheese sauce (mixture)","2019-04-01"
"338367","Bouillabaisse","2019-04-01"
"338368","Oyster pie","2019-04-01"
"338369","Seafood stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-base sauce","2019-04-01"
"338370","Tuna noodle casserole with vegetables and (mushroom) soup","2019-04-01"
"338371","Codfish with starchy vegetables, Puerto Rican style (Serenata de bacalao) (mixture)","2019-04-01"
"338372","Codfish salad, Puerto Rican style (Gazpacho de bacalao)","2019-04-01"
"338373","Stewed codfish, Puerto Rican style (Bacalao guisado)","2019-04-01"
"338374","Biscayne codfish, Puerto Rican style (Bacalao a la Vizcaina)","2019-04-01"
"338375","Codfish salad, Puerto Rican style (Ensalada de bacalao)","2019-04-01"
"338376","Stew, NFS","2019-04-01"
"338377","Goulash, NFS","2019-04-01"
"338378","Meat pie, NFS","2019-04-01"
"338379","Chow mein or chop suey, NS as to type of meat, with noodles","2019-04-01"
"338380","Paella, NFS","2019-04-01"
"338381","Brunswick stew","2019-04-01"
"338382","Chow mein or chop suey, various types of meat, with noodles","2019-04-01"
"338383","Stewed variety meats, Puerto Rican style (mostly liver) (Gandinga)","2019-04-01"
"338384","Stewed tripe, Puerto Rican style, with potatoes (Mondongo)","2019-04-01"
"338385","Gumbo with rice (New Orleans type with shellfish, pork, and/or poultry, tomatoes, okra, rice)","2019-04-01"
"338386","Jambalaya with meat and rice","2019-04-01"
"338387","Beef and vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), no sauce (mixture)","2019-04-01"
"338388","Beef and vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), no sauce (mixture)","2019-04-01"
"338389","Beef shish kabob with vegetables, excluding potatoes","2019-04-01"
"338390","Beef with vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), tomato-based sauce (mixture)","2019-04-01"
"338391","Swiss steak","2019-04-01"
"338392","Beef rolls, stuffed with vegetables or meat mixture, tomato-based sauce","2019-04-01"
"338393","Beef with vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), tomato-based sauce (mixture)","2019-04-01"
"338394","Beef with vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), (mushroom) soup (mixture)","2019-04-01"
"338395","Beef with vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), (mushroom) soup (mixture)","2019-04-01"
"338396","Beef and vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), soy-based sauce (mixture)","2019-04-01"
"338397","Beef and broccoli","2019-04-01"
"338398","Beef, tofu, and vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), soy-based sauce (mixture)","2019-04-01"
"338399","Szechuan beef","2019-04-01"
"338400","Hunan beef","2019-04-01"
"338401","Beef chow mein or chop suey, no noodles","2019-04-01"
"338402","Kung Pao beef","2019-04-01"
"338403","Beef and vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), soy-based sauce (mixture)","2019-04-01"
"338404","Beef, tofu, and vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), soy-based sauce (mixture)","2019-04-01"
"338405","Beef and vegetables, Hawaiian style (mixture)","2019-04-01"
"338406","Pepper steak","2019-04-01"
"338407","Beef, ground, with egg and onion (mixture)","2019-04-01"
"338408","Beef salad","2019-04-01"
"338409","Beef taco filling: beef, cheese, tomato, taco sauce","2019-04-01"
"338410","Sukiyaki (stir fried beef and vegetables in soy sauce)","2019-04-01"
"338411","Beef and vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), gravy (mixture)","2019-04-01"
"338412","Beef and vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), gravy (mixture)","2019-04-01"
"338413","Seasoned shredded soup meat (Ropa vieja, sopa de carne ripiada)","2019-04-01"
"338414","Puerto Rican style beef stew with vegetables, excluding potatoes (Carne a la Judia)","2019-04-01"
"338415","Corned beef with tomato sauce and onion, Puerto Rican style (mixture)","2019-04-01"
"338416","Beef steak with onions, Puerto Rican style (mixture) (Biftec encebollado)","2019-04-01"
"338417","Cabbage with ham hocks (mixture)","2019-04-01"
"338418","Ham or pork salad","2019-04-01"
"338419","Frankfurters or hot dogs and sauerkraut (mixture)","2019-04-01"
"338420","Pork and vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), no sauce (mixture)","2019-04-01"
"338422","Pork, tofu, and vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), soy-base sauce (mixture)","2019-04-01"
"338423","Pork and vegetables, Hawaiian style (mixture)","2019-04-01"
"338424","Pork and watercress with soy-based sauce (mixture)","2019-04-01"
"338425","Kung Pao pork","2019-04-01"
"338426","Moo Shu (Mu Shi) Pork, without Chinese pancake","2019-04-01"
"338427","Pork and onions with soy-based sauce (mixture)","2019-04-01"
"338428","Pork hash, Hawaiian style-ground pork, vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), soy-based sauce","2019-04-01"
"338429","Ham and vegetables (including carrots, broccoli, and/or dark- green leafy (no potatoes)), no sauce (mixture)","2019-04-01"
"338430","Ham and vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), no sauce (mixture)","2019-04-01"
"338431","Pork and vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), no sauce (mixture)","2019-04-01"
"338432","Pork, tofu, and vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), soy-based sauce (mixture)","2019-04-01"
"338433","Pork chow mein or chop suey, no noodles","2019-04-01"
"338434","Pork and vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), tomato-based sauce (mixture)","2019-04-01"
"338435","Pork and vegetables (excluding carrots, broccoli, and dark- green leafy (no potatoes)), tomato-based sauce (mixture)","2019-04-01"
"338436","Sausage and vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), tomato-based sauce (mixture)","2019-04-01"
"338437","Sausage and vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), tomato-based sauce (mixture)","2019-04-01"
"338438","Sausage and peppers, no sauce (mixture)","2019-04-01"
"338439","Pork and vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), soy-based sauce (mixture)","2019-04-01"
"338440","Pork and vegetables (excluding carrots, broccoli, and dark- green leafy (no potatoes)), soy-based sauce (mixture)","2019-04-01"
"338441","Pork shish kabob with vegetables, excluding potatoes","2019-04-01"
"338442","Stuffed christophine, Puerto Rican style (Chayote relleno)","2019-04-01"
"338443","Pork chop stewed with vegetables, Puerto Rican style (mixture) (Chuletas a la jardinera)","2019-04-01"
"338444","Lamb or mutton stew with vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), gravy","2019-04-01"
"338445","Lamb or mutton stew with vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), gravy","2019-04-01"
"338446","Veal goulash with vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), tomato-base sauce","2019-04-01"
"338447","Veal goulash with vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), tomato-base sauce","2019-04-01"
"338448","Veal with vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), cream or white sauce","2019-04-01"
"338449","Veal with vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), cream or white sauce","2019-04-01"
"338450","Lamb shish kabob with vegetables, excluding potatoes","2019-04-01"
"338451","Chicken or turkey and vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), no sauce (mixture)","2019-04-01"
"338452","Chicken or turkey and vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), no sauce (mixture)","2019-04-01"
"338453","Chicken or turkey shish kabob with vegetables, excluding potatoes","2019-04-01"
"338454","Chicken or turkey creole, without rice","2019-04-01"
"338455","Chicken or turkey and vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), gravy (mixture)","2019-04-01"
"338456","Chicken or turkey and vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), gravy (mixture)","2019-04-01"
"338457","Chicken or turkey a la king with vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), cream, white, or soup-based sauce","2019-04-01"
"338458","Chicken or turkey a la king with vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), cream, white, or soup-based sauce","2019-04-01"
"338459","Chicken or turkey divan","2019-04-01"
"338460","Chicken or turkey and vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), soy-based sauce (mixture)","2019-04-01"
"338461","Chicken or turkey and vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), soy-based sauce (mixture)","2019-04-01"
"338462","Chicken or turkey and vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), tomato-based sauce (mixture)","2019-04-01"
"338463","Chicken or turkey and vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), tomato-based sauce (mixture)","2019-04-01"
"338464","General Tso chicken","2019-04-01"
"338465","Moo Goo Gai Pan","2019-04-01"
"338466","Kung pao chicken","2019-04-01"
"338467","Almond chicken","2019-04-01"
"338468","Chicken or turkey chow mein or chop suey, no noodles","2019-04-01"
"338469","Chicken or turkey salad, made with mayonnaise","2019-04-01"
"338470","Chicken or turkey salad with nuts and/or fruits","2019-04-01"
"338471","Chicken or turkey salad with egg","2019-04-01"
"338472","Chicken or turkey salad, made with light mayonnaise","2019-04-01"
"338473","Chicken or turkey salad, made with mayonnaise-type salad dressing","2019-04-01"
"338474","Chicken or turkey salad, made with light mayonnaise-type salad dressing","2019-04-01"
"338475","Chicken or turkey salad, made with creamy dressing","2019-04-01"
"338476","Chicken or turkey salad, made with light creamy dressing","2019-04-01"
"338477","Chicken or turkey salad, made with Italian dressing","2019-04-01"
"338478","Chicken or turkey salad, made with light Italian dressing","2019-04-01"
"338479","Chicken or turkey salad, made with any type of fat free dressing","2019-04-01"
"338480","Chicken or turkey garden salad (chicken and/or turkey, tomato and/or carrots, other vegetables), no dressing","2019-04-01"
"338481","Chicken or turkey garden salad (chicken and/or turkey, other vegetables excluding tomato and carrots), no dressing","2019-04-01"
