"id","description","last_updated"
"336197","Nesquik, chocolate milk, made from dry mix with reduced fat milk (2%)","2019-04-01"
"336198","Nesquik, chocolate milk, made from dry mix with low fat milk (1%)","2019-04-01"
"336199","Nesquik, chocolate milk, made from dry mix with fat free milk (skim)","2019-04-01"
"336200","Nesquik, chocolate milk, made from dry mix with non-dairy milk","2019-04-01"
"336201","Nesquik, chocolate milk, made from no sugar added dry mix, NS as to type of milk","2019-04-01"
"336202","Nesquik, chocolate milk, made from no sugar added dry mix with whole milk","2019-04-01"
"336203","Nesquik, chocolate milk, made from no sugar added dry mix with reduced fat milk (2%)","2019-04-01"
"336204","Nesquik, chocolate milk, made from no sugar added dry mix with low fat milk (1%)","2019-04-01"
"336205","Nesquik, chocolate milk, made from no sugar added dry mix with fat free milk (skim)","2019-04-01"
"336206","Nesquik, chocolate milk, made from no sugar added dry mix with non-dairy milk","2019-04-01"
"336207","Chocolate milk, made from syrup, NS as to type of milk","2019-04-01"
"336208","Chocolate milk, made from syrup with whole milk","2019-04-01"
"336209","Chocolate milk, made from syrup with reduced fat milk (2%)","2019-04-01"
"336210","Chocolate milk, made from syrup with low fat milk (1%)","2019-04-01"
"336211","Chocolate milk, made from syrup with fat free milk (skim)","2019-04-01"
"336212","Chocolate milk, made from syrup with non-dairy milk","2019-04-01"
"336213","Chocolate milk, made from light syrup, NS as to type of milk","2019-04-01"
"336214","Chocolate milk, made from light syrup with whole milk","2019-04-01"
"336215","Chocolate milk, made from light syrup with reduced fat milk (2%)","2019-04-01"
"336216","Chocolate milk, made from light syrup with low fat milk (1%)","2019-04-01"
"336217","Chocolate milk, made from light syrup with fat free milk (skim)","2019-04-01"
"336218","Chocolate milk, made from light syrup with non-dairy milk","2019-04-01"
"336219","Chocolate milk, made from sugar free syrup, NS as to type of milk ","2019-04-01"
"336220","Chocolate milk, made from sugar free syrup with whole milk","2019-04-01"
"336221","Chocolate milk, made from sugar free syrup with reduced fat milk (2%)","2019-04-01"
"336222","Chocolate milk, made from sugar free syrup with low fat milk (1%)","2019-04-01"
"336223","Chocolate milk, made from sugar free syrup with fat free milk (skim)","2019-04-01"
"336224","Chocolate milk, made from sugar free syrup with non-dairy milk","2019-04-01"
"336225","Hot chocolate / Cocoa, made with dry mix and water","2019-04-01"
"336226","Hot chocolate / Cocoa, made with dry mix and whole milk","2019-04-01"
"336227","Hot chocolate / Cocoa, made with dry mix and reduced fat milk (2%)","2019-04-01"
"336228","Hot chocolate / Cocoa, made with dry mix and low fat milk (1%)","2019-04-01"
"336229","Hot chocolate / Cocoa, made with dry mix and fat free milk (skim)","2019-04-01"
"336230","Hot chocolate / Cocoa, made with dry mix and non-dairy milk","2019-04-01"
"336231","Hot chocolate / Cocoa, made with no sugar added dry mix and water","2019-04-01"
"336232","Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk","2019-04-01"
"336233","Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk (2%)","2019-04-01"
