"fdc_id","data_type","description","food_category_id","publication_date"
"336176","survey_fndds_food","Nesquik, chocolate milk, ready to drink, low fat (1%), no sugar added","","2019-04-01"
"336177","survey_fndds_food","Hot chocolate / Cocoa, ready to drink","","2019-04-01"
"336178","survey_fndds_food","Hot chocolate / Cocoa, ready to drink, made with nonfat milk","","2019-04-01"
"336179","survey_fndds_food","Hot chocolate / Cocoa, ready to drink, made with non-dairy milk","","2019-04-01"
"336180","survey_fndds_food","Hot chocolate / Cocoa, ready to drink, with whipped cream","","2019-04-01"
"336181","survey_fndds_food","Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream","","2019-04-01"
"336182","survey_fndds_food","Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream","","2019-04-01"
"336183","survey_fndds_food","Chocolate milk, made from dry mix, NS as to type of milk","","2019-04-01"
"336184","survey_fndds_food","Chocolate milk, made from dry mix with whole milk","","2019-04-01"
"336185","survey_fndds_food","Chocolate milk, made from dry mix with reduced fat milk (2%)","","2019-04-01"
"336186","survey_fndds_food","Chocolate milk, made from dry mix with low fat milk (1%)","","2019-04-01"
"336187","survey_fndds_food","Chocolate milk, made from dry mix with fat free milk (skim)","","2019-04-01"
"336188","survey_fndds_food","Chocolate milk, made from dry mix with non-dairy milk","","2019-04-01"
"336189","survey_fndds_food","Chocolate milk, made from reduced sugar mix, NS as to type of milk","","2019-04-01"
"336190","survey_fndds_food","Chocolate milk, made from reduced sugar mix with whole milk","","2019-04-01"
"336191","survey_fndds_food","Chocolate milk, made from reduced sugar mix with reduced fat milk (2%)","","2019-04-01"
"336192","survey_fndds_food","Chocolate milk, made from reduced sugar mix with low fat milk (1%)","","2019-04-01"
"336193","survey_fndds_food","Chocolate milk, made from reduced sugar mix with fat free milk (skim)","","2019-04-01"
"336194","survey_fndds_food","Chocolate milk, made from reduced sugar mix with non-dairy milk","","2019-04-01"
"336195","survey_fndds_food","Nesquik, chocolate milk, made from dry mix, NS as to type of milk","","2019-04-01"
"336196","survey_fndds_food","Nesquik, chocolate milk, made from dry mix with whole milk","","2019-04-01"
"336197","survey_fndds_food","Nesquik, chocolate milk, made from dry mix with reduced fat milk (2%)","","2019-04-01"
"336198","survey_fndds_food","Nesquik, chocolate milk, made from dry mix with low fat milk (1%)","","2019-04-01"
"336199","survey_fndds_food","Nesquik, chocolate milk, made from dry mix with fat free milk (skim)","","2019-04-01"
"336200","survey_fndds_food","Nesquik, chocolate milk, made from dry mix with non-dairy milk","","2019-04-01"
"336201","survey_fndds_food","Nesquik, chocolate milk, made from no sugar added dry mix, NS as to type of milk","","2019-04-01"
"336202","survey_fndds_food","Nesquik, chocolate milk, made from no sugar added dry mix with whole milk","","2019-04-01"
"336203","survey_fndds_food","Nesquik, chocolate milk, made from no sugar added dry mix with reduced fat milk (2%)","","2019-04-01"
"336204","survey_fndds_food","Nesquik, chocolate milk, made from no sugar added dry mix with low fat milk (1%)","","2019-04-01"
"336205","survey_fndds_food","Nesquik, chocolate milk, made from no sugar added dry mix with fat free milk (skim)","","2019-04-01"
