"Table","Number of Records"
"acquisition_sample","5878"
"agricultural_acquisition","810"
"food","18024"
"food_attribute","2445"
"food_calorie_conversion_factor","106"
"food_component","3066"
"food_nutrient","91803"
"food_nutrient_conversion_factor","217"
"food_portion","9612"
"food_protein_conversion_factor","111"
"food_update_log_entry","18118"
"foundation_food","150"
"input_food","3579"
"market_acquisition","5112"
"sample_food","1621"
"sub_sample_food","10331"
"sub_sample_result","66495"
